Tree_No,Species,DBH_cm,Height_m,Volume_Reference,Volume_Calculated
1,Fagus sylvatica,50.6,31.1999999999999,2.94878675385545,3.290477732719995
2,Fagus sylvatica,17.9,22.1,0.261388258302349,0.27185889481
3,Fagus sylvatica,37.7,29.1,1.52673418056956,1.5659935189100003
4,Fagus sylvatica,37.4,30.5,1.57481949747097,1.59071583592
5,Fagus sylvatica,30.0,27.6999999999999,0.920258882034421,0.9143961519999972
6,Fagus sylvatica,57.9,29.5,3.65062213486844,4.52514904537
7,Fagus sylvatica,17.8,18.3,0.214032061073538,0.22288480248000003
8,Fagus sylvatica,32.5,30.0,1.16970330222486,1.15806759375
9,Fagus sylvatica,52.0,30.6999999999999,3.06431073094854,3.494438420799995
10,Fagus sylvatica,25.3,27.5,0.649772722203726,0.64502503591
11,Fagus sylvatica,27.7,28.5,0.807220416024529,0.7973891103899999
12,Betula pendula,58.4,34.1,4.2930684446633,3.2842163640176003
13,Fagus sylvatica,54.9,32.1,3.57139149958293,4.09079194831
14,Fagus sylvatica,12.5,24.7,0.142463863732515,0.18170542374999998
15,Fagus sylvatica,43.1,32.7,2.24228097596029,2.3048004475700004
16,Fagus sylvatica,70.5,33.2,6.09121679582547,7.931596751950001
17,Fagus sylvatica,54.3,34.4,3.74408621827056,4.12011797989
18,Fagus sylvatica,16.1,16.1,0.154051299938849,0.16495072699000005
19,Fagus sylvatica,26.6,28.6999999999999,0.749605750109278,0.7415864495199975
20,Acer pseudoplatanus,54.9,31.5,3.50463651828232,2.9771455025071996
21,Fagus sylvatica,24.5,29.1,0.644781988114234,0.6443718249500001
22,Fagus sylvatica,12.1,22.5,0.121602078446444,0.15283809363
23,Betula pendula,56.8,33.3999999999999,3.97768948737248,3.06618581865279
24,Fagus sylvatica,27.1,29.0,0.786184213441321,0.7768903381300001
25,Fagus sylvatica,36.9,27.6,1.38723345446154,1.43840008171
26,Fagus sylvatica,23.0,29.0,0.566293281559972,0.57275089
27,Fagus sylvatica,25.4,27.1,0.645393316126483,0.64052949256
28,Fagus sylvatica,57.3,31.5,3.81775045010174,4.522400783109999
29,Fagus sylvatica,23.0,27.8999999999999,0.544813191569764,0.5483357827999978
30,Fagus sylvatica,46.9,33.7,2.73629757527259,2.86147906303
31,Fagus sylvatica,22.5,27.1,0.506433080614161,0.5103253247500001
32,Fagus sylvatica,38.2,30.8,1.65907180053804,1.6798263815200003
33,Fagus sylvatica,18.8,26.6,0.347044426814367,0.36631226464
34,Fagus sylvatica,28.6,26.6999999999999,0.806178231146207,0.8018831143199976
35,Fagus sylvatica,23.6,28.0,0.575664935188969,0.5768960444800001
36,Betula pendula,42.3,30.2,1.99469003024742,1.6613749424998
37,Betula pendula,43.4,29.0,2.01634664161645,1.6707808232335999
38,Fagus sylvatica,20.7,26.6999999999999,0.422318096561982,0.4328819787699981
39,Fagus sylvatica,24.0,26.6999999999999,0.567703385422534,0.5660696655999979
40,Fagus sylvatica,58.8,32.0,4.08406240718954,4.86486234976
41,Betula pendula,31.4,8.19999999999999,0.298442650144862,0.3155346320975997
42,Fagus sylvatica,24.0,25.6999999999999,0.546441086343038,0.544740769599998
43,Fagus sylvatica,41.9,32.1,2.08027532442918,2.13295898681
44,Fagus sylvatica,35.0,29.6999999999999,1.34301318795096,1.3465338739999964
45,Carpinus betulus,22.9,25.4,0.49169118300533,
46,Fagus sylvatica,21.0,29.1,0.473717379022702,0.4915734796000001
47,Pinus sylvestris,34.1,28.6999999999999,1.23190833609103,1.1513922048736198
48,Fagus sylvatica,26.0,23.3999999999999,0.583915888470649,0.5879971375999979
49,Fagus sylvatica,49.0,31.8,2.8184284841282,3.0713005596
50,Fagus sylvatica,41.2,30.6,1.91735971294215,1.9867395849600007
51,Betula pendula,43.4,28.1999999999999,1.96072328598564,1.6254356664015943
52,Fagus sylvatica,26.7,23.3,0.613149224140996,0.61984025377
53,Quercus robur,28.5,26.3,0.822112837547569,0.7595898118000001
54,Betula pendula,61.9,33.3999999999999,4.72406107937143,3.5358696747165883
55,Fagus sylvatica,46.3,32.2999999999999,2.55594935175918,2.703761494929995
56,Fagus sylvatica,41.8,30.0,1.93491351269053,2.0288663205599997
57,Betula pendula,38.0,29.1999999999999,1.55645935456097,1.3265618759999955
58,Fagus sylvatica,27.5,28.3999999999999,0.792814285555326,0.7833737402499974
59,Fagus sylvatica,32.0,27.0,1.02059035581579,1.0282533200000001
60,Carpinus betulus,16.3,14.4,0.14122950606078,
61,Fagus sylvatica,44.1,30.8999999999999,2.21831592859259,2.3447018305899956
62,Fagus sylvatica,15.5,18.8,0.166728170577011,0.17862187345000002
63,Fagus sylvatica,20.8,8.6,0.13734500214284,0.21112923424000002
64,Betula pendula,49.3,29.8,2.6736086764475,2.1418858647418
65,Fagus sylvatica,21.1,22.5,0.369772975514933,0.37364132073000006
66,Fagus sylvatica,20.2,25.0,0.376556793246416,0.38491354264
67,Fagus sylvatica,18.8,27.0,0.352263139999545,0.37314836576
68,Fagus sylvatica,35.5,34.1,1.58634931137025,1.5581266610500002
69,Fagus sylvatica,44.5,31.0,2.26604982693978,2.40019570375
70,Fagus sylvatica,32.6,30.1,1.18083559234153,1.1689020330400002
71,Fagus sylvatica,40.9,28.1999999999999,1.74133954853025,1.8555279624299958
72,Larix decidua,78.3,36.7,8.30572079286122,7.296256519422401
73,Carpinus betulus,15.2,22.5,0.191892249192449,
74,Carpinus betulus,19.5,26.5,0.371965650107506,
75,Fagus sylvatica,33.8,29.6999999999999,1.25249958076954,1.2483558360799962
76,Pinus sylvestris,59.6,34.7,4.54998257629911,4.077220573187976
77,Fagus sylvatica,31.5,29.5,1.08051515576055,1.06905948625
78,Acer pseudoplatanus,48.8,30.0,2.63723382916012,2.2862094535615998
79,Fagus sylvatica,17.8,24.3999999999999,0.285376081431383,0.3015175698399985
